system,topic,score
10x10.prf.unipd.it,1,0.0987
10x10.prf.unipd.it,2,0.1253
10x10.prf.unipd.it,3,0.2891
10x10.prf.unipd.it,4,0.0966
10x10.prf.unipd.it,5,0.8939
10x10.prf.unipd.it,6,0.7273
10x10.prf.unipd.it,7,0.6877
10x10.prf.unipd.it,8,0.2615
10x10.prf.unipd.it,9,0.5157
10x10.prf.unipd.it,10,0.9999
10x10.prf.unipd.it,11,0.2842
10x10.prf.unipd.it,12,0.9988
10x10.prf.unipd.it,13,0.9395
10x10.prf.unipd.it,14,0.9864
10x10.prf.unipd.it,15,0
10x10.prf.unipd.it,16,0.8334
10x10.prf.unipd.it,17,0.4972
10x10.prf.unipd.it,18,0.3018
10x10.prf.unipd.it,19,0.25
10x10.prf.unipd.it,20,0.0391
10x10.prf.unipd.it,21,0.6835
10x10.prf.unipd.it,22,0.9972
10x10.prf.unipd.it,23,0.9229
10x10.prf.unipd.it,24,0.956
10x10.prf.unipd.it,25,0.0967
10x10.prf.unipd.it,26,0.1255
10x10.prf.unipd.it,27,0.9932
10x10.prf.unipd.it,28,0.8747
10x10.prf.unipd.it,29,0.4884
10x10.prf.unipd.it,30,0.97
10x20.prf.unipd.it,1,0.1407
10x20.prf.unipd.it,2,0.1642
10x20.prf.unipd.it,3,0.1026
10x20.prf.unipd.it,4,0.7618
10x20.prf.unipd.it,5,0.9845
10x20.prf.unipd.it,6,0.9929
10x20.prf.unipd.it,7,0.9616
10x20.prf.unipd.it,8,0.3672
10x20.prf.unipd.it,9,0.7656
10x20.prf.unipd.it,10,0.9956
10x20.prf.unipd.it,11,0.8594
10x20.prf.unipd.it,12,0.999
10x20.prf.unipd.it,13,0.9321
10x20.prf.unipd.it,14,0.9266
10x20.prf.unipd.it,15,0.0039
10x20.prf.unipd.it,16,0.4802
10x20.prf.unipd.it,17,0.4937
10x20.prf.unipd.it,18,0.6937
10x20.prf.unipd.it,19,0.332
10x20.prf.unipd.it,20,0.4571
10x20.prf.unipd.it,21,0.3687
10x20.prf.unipd.it,22,0.6093
10x20.prf.unipd.it,23,0.8673
10x20.prf.unipd.it,24,0.922
10x20.prf.unipd.it,25,0.1042
10x20.prf.unipd.it,26,0.1501
10x20.prf.unipd.it,27,0.9924
10x20.prf.unipd.it,28,0.7478
10x20.prf.unipd.it,29,0.8727
10x20.prf.unipd.it,30,0.9967
BBGhelani1,1,0.9875
BBGhelani1,2,0.9998
BBGhelani1,3,0.9226
BBGhelani1,4,0.9973
BBGhelani1,5,0.6504
BBGhelani1,6,0.9897
BBGhelani1,7,0.9973
BBGhelani1,8,0.3325
BBGhelani1,9,0.4626
BBGhelani1,10,1
BBGhelani1,11,0.6854
BBGhelani1,12,0.9758
BBGhelani1,13,0.9781
BBGhelani1,14,0.981
BBGhelani1,15,0.995
BBGhelani1,16,0.4903
BBGhelani1,17,0.9672
BBGhelani1,18,0.9949
BBGhelani1,19,0.4063
BBGhelani1,20,0.4278
BBGhelani1,21,0.9996
BBGhelani1,22,0.4999
BBGhelani1,23,0.8982
BBGhelani1,24,0.9586
BBGhelani1,25,0.8556
BBGhelani1,26,0.3741
BBGhelani1,27,0.9999
BBGhelani1,28,0.4919
BBGhelani1,29,0.9651
BBGhelani1,30,0.7461
BBGhelani2,1,0.9875
BBGhelani2,2,0.9998
BBGhelani2,3,0.9226
BBGhelani2,4,0.9973
BBGhelani2,5,0.6504
BBGhelani2,6,0.9897
BBGhelani2,7,0.9973
BBGhelani2,8,0.3325
BBGhelani2,9,0.4626
BBGhelani2,10,1
BBGhelani2,11,0.6854
BBGhelani2,12,0.9758
BBGhelani2,13,0.9781
BBGhelani2,14,0.981
BBGhelani2,15,0.995
BBGhelani2,16,0.4903
BBGhelani2,17,0.9672
BBGhelani2,18,0.9949
BBGhelani2,19,0.4063
BBGhelani2,20,0.4278
BBGhelani2,21,0.9996
BBGhelani2,22,0.4999
BBGhelani2,23,0.8982
BBGhelani2,24,0.9586
BBGhelani2,25,0.8556
BBGhelani2,26,0.3741
BBGhelani2,27,0.9999
BBGhelani2,28,0.4919
BBGhelani2,29,0.9651
BBGhelani2,30,0.7461
BITEM_BL,1,0.1563
BITEM_BL,2,0.6251
BITEM_BL,3,0.0625
BITEM_BL,4,0
BITEM_BL,5,0.0045
BITEM_BL,6,0.2603
BITEM_BL,7,0.082
BITEM_BL,8,0
BITEM_BL,9,0.1254
BITEM_BL,10,0.9829
BITEM_BL,11,0.2657
BITEM_BL,12,0.8469
BITEM_BL,13,0
BITEM_BL,14,0.8868
BITEM_BL,15,0.2666
BITEM_BL,16,0.502
BITEM_BL,17,0.8812
BITEM_BL,18,0.916
BITEM_BL,19,0.6309
BITEM_BL,20,0.7738
BITEM_BL,21,0.5101
BITEM_BL,22,0.3912
BITEM_BL,23,0.5041
BITEM_BL,24,0.126
BITEM_BL,25,0.3281
BITEM_BL,26,0.5333
BITEM_BL,27,0.1094
BITEM_BL,28,1
BITEM_BL,29,0.8673
BITEM_BL,30,0.4648
BITEM_df,1,0.875
BITEM_df,2,0.2506
BITEM_df,3,0.002
BITEM_df,4,0
BITEM_df,5,0.1797
BITEM_df,6,0.3672
BITEM_df,7,0.0017
BITEM_df,8,0
BITEM_df,9,0.1427
BITEM_df,10,0.9999
BITEM_df,11,0.5728
BITEM_df,12,0.9987
BITEM_df,13,0.0469
BITEM_df,14,0.8929
BITEM_df,15,0.5022
BITEM_df,16,0.5469
BITEM_df,17,0.6802
BITEM_df,18,0.4882
BITEM_df,19,0.7266
BITEM_df,20,0.4299
BITEM_df,21,0.2071
BITEM_df,22,0.7818
BITEM_df,23,0.6295
BITEM_df,24,0.0098
BITEM_df,25,0.0313
BITEM_df,26,0.7149
BITEM_df,27,0.5781
BITEM_df,28,1
BITEM_df,29,0.9015
BITEM_df,30,0.7324
BITEM_stem,1,0.2813
BITEM_stem,2,0.5156
BITEM_stem,3,0.0781
BITEM_stem,4,0
BITEM_stem,5,0.0256
BITEM_stem,6,0.7892
BITEM_stem,7,0.0078
BITEM_stem,8,0.001
BITEM_stem,9,0.0161
BITEM_stem,10,0.994
BITEM_stem,11,0.127
BITEM_stem,12,0.8898
BITEM_stem,13,0
BITEM_stem,14,0.8873
BITEM_stem,15,0.0647
BITEM_stem,16,0.5
BITEM_stem,17,0.7012
BITEM_stem,18,0.7959
BITEM_stem,19,0.3262
BITEM_stem,20,0.465
BITEM_stem,21,0.274
BITEM_stem,22,0.6254
BITEM_stem,23,0.5716
BITEM_stem,24,0.0195
BITEM_stem,25,0.0156
BITEM_stem,26,0.7534
BITEM_stem,27,0.0371
BITEM_stem,28,1
BITEM_stem,29,0.731
BITEM_stem,30,0.8555
BM25R2,1,0.7229
BM25R2,2,0.9669
BM25R2,3,0
BM25R2,4,0.3125
BM25R2,5,0
BM25R2,6,0.501
BM25R2,7,0.2546
BM25R2,8,0.752
BM25R2,9,0.6251
BM25R2,10,0.9999
BM25R2,11,0.0011
BM25R2,12,0.4736
BM25R2,13,0.1251
BM25R2,14,0.6487
BM25R2,15,0.7813
BM25R2,16,0.0313
BM25R2,17,0.5
BM25R2,18,0.2522
BM25R2,19,0.2529
BM25R2,20,0.1689
BM25R2,21,0.6016
BM25R2,22,0.8301
BM25R2,23,5e-04
BM25R2,24,0.5
BM25R2,25,0.744
BM25R2,26,0.5003
BM25R2,27,0.0078
BM25R2,28,0.7342
BM25R2,29,0.9855
BM25R2,30,0.7733
BioinfoUA-emb,1,0.5703
BioinfoUA-emb,2,0.9888
BioinfoUA-emb,3,0.1422
BioinfoUA-emb,4,0.8568
BioinfoUA-emb,5,0.9995
BioinfoUA-emb,6,0.9532
BioinfoUA-emb,7,0.2744
BioinfoUA-emb,8,0.5787
BioinfoUA-emb,9,0.8833
BioinfoUA-emb,10,0.6873
BioinfoUA-emb,11,0.0313
BioinfoUA-emb,12,0.746
BioinfoUA-emb,13,0.9063
BioinfoUA-emb,14,0.7812
BioinfoUA-emb,15,0.25
BioinfoUA-emb,16,0.6516
BioinfoUA-emb,17,0.4795
BioinfoUA-emb,18,0.4377
BioinfoUA-emb,19,0.75
BioinfoUA-emb,20,0.9672
BioinfoUA-emb,21,0.002
BioinfoUA-emb,22,0.9938
BioinfoUA-emb,23,0.93
BioinfoUA-emb,24,0.9683
BioinfoUA-emb,25,0.524
BioinfoUA-emb,26,0.8593
BioinfoUA-emb,27,0.9995
BioinfoUA-emb,28,0.9934
BioinfoUA-emb,29,0.9687
BioinfoUA-emb,30,0.9872
BioinfoUA-emb-q,1,0.5001
BioinfoUA-emb-q,2,0.8691
BioinfoUA-emb-q,3,0.0786
BioinfoUA-emb-q,4,0.125
BioinfoUA-emb-q,5,0
BioinfoUA-emb-q,6,0.1875
BioinfoUA-emb-q,7,0.5635
BioinfoUA-emb-q,8,0.0781
BioinfoUA-emb-q,9,0.262
BioinfoUA-emb-q,10,0.9899
BioinfoUA-emb-q,11,0.5001
BioinfoUA-emb-q,12,0.992
BioinfoUA-emb-q,13,0.5078
BioinfoUA-emb-q,14,0.5914
BioinfoUA-emb-q,15,0.5
BioinfoUA-emb-q,16,0.825
BioinfoUA-emb-q,17,0.9817
BioinfoUA-emb-q,18,0.0078
BioinfoUA-emb-q,19,0.4688
BioinfoUA-emb-q,20,0.8789
BioinfoUA-emb-q,21,0.6062
BioinfoUA-emb-q,22,0.8594
BioinfoUA-emb-q,23,0.3048
BioinfoUA-emb-q,24,0.6333
BioinfoUA-emb-q,25,0.052
BioinfoUA-emb-q,26,0.3998
BioinfoUA-emb-q,27,0.8033
BioinfoUA-emb-q,28,0.7485
BioinfoUA-emb-q,29,0.7334
BioinfoUA-emb-q,30,0.9983
BioinfoUA-noadapt,1,0.5157
BioinfoUA-noadapt,2,0.856
BioinfoUA-noadapt,3,0.0405
